KC_LCTRL					MCP_GPB0 + Pico_GP15
KC_LSHIFT					MCP_GPB0 + Pico_GP14
KC_RSHIFT					MCP_GPA6 + Pico_GP10
KC_LALT						MCP_GPA7 + MCP_GPB0
KC_RALT						MCP_GPB1 + MCP_GPB3
KC_LGUI						MCP_GPA3 + Pico_GP8
KC_RGUI						Pico_GP16 + MCP_GPA3
FN							Pico_GP19 + MCP_GPB1
KC_A						MCP_GPB5 + MCP_GPA1
KC_B						Pico_GP8 + Pico_GP19
KC_C						MCP_GPB4 + Pico_GP8
KC_D						MCP_GPB4 + MCP_GPB5
KC_E						MCP_GPA0 + MCP_GPB4
KC_F						MCP_GPA2 + MCP_GPB5
KC_G						Pico_GP19 + MCP_GPB5
KC_H						Pico_GP9 + MCP_GPB5
KC_I						MCP_GPA0 + Pico_GP18
KC_J						MCP_GPB2 + MCP_GPB5
KC_K						Pico_GP18 + MCP_GPB5
KC_L						MCP_GPA5 + MCP_GPB5
KC_M						Pico_GP8 + MCP_GPB2
KC_N						Pico_GP8 + Pico_GP9
KC_O						MCP_GPA0 + MCP_GPA5
KC_P						Pico_GP11 + Pico_GP17
KC_Q						MCP_GPA0 + MCP_GPA1
KC_R						MCP_GPA0 + MCP_GPA2
KC_S						Pico_GP20 + MCP_GPB5
KC_T						Pico_GP19 + MCP_GPA0
KC_U						MCP_GPA0 + MCP_GPB2
KC_V						Pico_GP8 + MCP_GPA2
KC_W						Pico_GP20 + MCP_GPA0
KC_X						Pico_GP8 + Pico_GP20
KC_Y						Pico_GP9 + MCP_GPA0
KC_Z						Pico_GP8 + MCP_GPA1
KC_GRAVE					Pico_GP16 + Pico_GP20
KC_1						Pico_GP7 + MCP_GPA1
KC_2						Pico_GP7 + Pico_GP20
KC_3						MCP_GPB4 + Pico_GP7
KC_4						Pico_GP7 + MCP_GPA2
KC_5						Pico_GP7 + Pico_GP19
KC_6						Pico_GP7 + Pico_GP9
KC_7						MCP_GPB2 + Pico_GP7
KC_8						Pico_GP7 + Pico_GP18
KC_9						MCP_GPA5 + Pico_GP7
KC_0						Pico_GP17 + MCP_GPA3
KC_MINUS					Pico_GP17 + Pico_GP19
KC_EQUAL					Pico_GP9 + Pico_GP16
KC_BSPACE					MCP_GPA1 + MCP_GPB1
KC_ESC						Pico_GP17 + Pico_GP20
KC_F1						MCP_GPA1 + MCP_GPA6
KC_F2						Pico_GP20 + MCP_GPA6
KC_F3						MCP_GPB4 + MCP_GPA6
KC_F4						MCP_GPA2 + MCP_GPA6
KC_F5						Pico_GP19 + MCP_GPA6
KC_F6						MCP_GPA6 + Pico_GP9
KC_F7						MCP_GPA6 + MCP_GPB2
KC_F8						MCP_GPA6 + Pico_GP18
KC_F9						MCP_GPA5 + MCP_GPA6
KC_F10						MCP_GPB3 + Pico_GP17
KC_F11						Pico_GP17 + MCP_GPA1
KC_F12						MCP_GPA1 + Pico_GP16
KC_RIGHT					Pico_GP16 + Pico_GP18
KC_LEFT						Pico_GP18 + MCP_GPB1
KC_UP						MCP_GPA5 + Pico_GP16
KC_DOWN						MCP_GPA5 + MCP_GPB1
KC_SLASH					Pico_GP9 + Pico_GP17
KC_DOT 						Pico_GP8 + MCP_GPA5
KC_COMMA					Pico_GP18 + Pico_GP8
KC_SCOLON					Pico_GP17 + MCP_GPB2
KC_QUOTE					MCP_GPB1 + MCP_GPB2
KC_ENTER					Pico_GP10 + Pico_GP17
KC_LBRC						Pico_GP16 + Pico_GP19
KC_RBRC						Pico_GP16 + MCP_GPA2
KC_BSLASH					Pico_GP17 + MCP_GPA5
KC_CAPS						Pico_GP11 + MCP_GPB1
KC_TAB						Pico_GP20 + MCP_GPB1
KC_SPACE					MCP_GPB1 + Pico_GP9
