KC_LCTRL					Pico_GPboard.GP18 + MCP_Pin4
KC_LSHIFT					MCP_Pin4 + Pico_GPboard.GP12
KC_RSHIFT					Pico_GPboard.GP21 + MCP_Pin11
KC_LALT						MCP_Pin4 + MCP_Pin10
KC_RALT						MCP_Pin3 + MCP_Pin13
KC_LGUI						Pico_GPboard.GP4 + MCP_Pin0
KC_RGUI						Pico_GPboard.GP19 + MCP_Pin0
FN							MCP_Pin3 + Pico_GPboard.GP7
KC_A						Pico_GPboard.GP27_A1 + Pico_GPboard.GP28_A2
KC_B						Pico_GPboard.GP4 + Pico_GPboard.GP7
KC_C						Pico_GPboard.GP4 + MCP_Pin15
KC_D						Pico_GPboard.GP27_A1 + MCP_Pin15
KC_E						Pico_GPboard.GP26_A0 + MCP_Pin15
KC_F						Pico_GPboard.GP27_A1 + MCP_Pin14
KC_G						Pico_GPboard.GP7 + Pico_GPboard.GP27_A1
KC_H						Pico_GPboard.GP6 + Pico_GPboard.GP27_A1
KC_I						Pico_GPboard.GP26_A0 + Pico_GPboard.GP9
KC_J						Pico_GPboard.GP27_A1 + MCP_Pin12
KC_K						Pico_GPboard.GP9 + Pico_GPboard.GP27_A1
KC_L						Pico_GPboard.GP27_A1 + MCP_Pin2
KC_M						MCP_Pin12 + Pico_GPboard.GP4
KC_N						Pico_GPboard.GP4 + Pico_GPboard.GP6
KC_O						Pico_GPboard.GP26_A0 + MCP_Pin2
KC_P						Pico_GPboard.GP8 + Pico_GPboard.GP10
KC_Q						Pico_GPboard.GP26_A0 + Pico_GPboard.GP28_A2
KC_R						Pico_GPboard.GP26_A0 + MCP_Pin14
KC_S						Pico_GPboard.GP5 + Pico_GPboard.GP27_A1
KC_T						Pico_GPboard.GP26_A0 + Pico_GPboard.GP7
KC_U						Pico_GPboard.GP26_A0 + MCP_Pin12
KC_V						MCP_Pin14 + Pico_GPboard.GP4
KC_W						Pico_GPboard.GP26_A0 + Pico_GPboard.GP5
KC_X						Pico_GPboard.GP4 + Pico_GPboard.GP5
KC_Y						Pico_GPboard.GP6 + Pico_GPboard.GP26_A0
KC_Z						Pico_GPboard.GP28_A2 + Pico_GPboard.GP4
KC_GRAVE					Pico_GPboard.GP5 + Pico_GPboard.GP19
KC_1						Pico_GPboard.GP28_A2 + Pico_GPboard.GP1
KC_2						Pico_GPboard.GP1 + Pico_GPboard.GP5
KC_3						MCP_Pin15 + Pico_GPboard.GP1
KC_4						MCP_Pin14 + Pico_GPboard.GP1
KC_5						Pico_GPboard.GP1 + Pico_GPboard.GP7
KC_6						Pico_GPboard.GP1 + Pico_GPboard.GP6
KC_7						MCP_Pin12 + Pico_GPboard.GP1
KC_8						Pico_GPboard.GP1 + Pico_GPboard.GP9
KC_9						MCP_Pin2 + Pico_GPboard.GP1
KC_0						Pico_GPboard.GP10 + MCP_Pin0
KC_MINUS					Pico_GPboard.GP7 + Pico_GPboard.GP10
KC_EQUAL					Pico_GPboard.GP6 + Pico_GPboard.GP19
KC_BSPACE					Pico_GPboard.GP28_A2 + MCP_Pin3
KC_ESC						Pico_GPboard.GP10 + Pico_GPboard.GP5
KC_F1						Pico_GPboard.GP28_A2 + MCP_Pin11
KC_F2						MCP_Pin11 + Pico_GPboard.GP5
KC_F3						MCP_Pin11 + MCP_Pin15
KC_F4						MCP_Pin11 + MCP_Pin14
KC_F5						Pico_GPboard.GP7 + MCP_Pin11
KC_F6						MCP_Pin11 + Pico_GPboard.GP6
KC_F7						MCP_Pin11 + MCP_Pin12
KC_F8						Pico_GPboard.GP9 + MCP_Pin11
KC_F9						MCP_Pin2 + MCP_Pin11
KC_F10						MCP_Pin13 + Pico_GPboard.GP10
KC_F11						Pico_GPboard.GP10 + Pico_GPboard.GP28_A2
KC_F12						Pico_GPboard.GP19 + Pico_GPboard.GP28_A2
KC_RIGHT					Pico_GPboard.GP9 + Pico_GPboard.GP19
KC_LEFT						Pico_GPboard.GP9 + MCP_Pin3
KC_UP						Pico_GPboard.GP19 + MCP_Pin2
KC_DOWN						MCP_Pin2 + MCP_Pin3
KC_SLASH					Pico_GPboard.GP6 + Pico_GPboard.GP10
KC_DOT 						Pico_GPboard.GP4 + MCP_Pin2
KC_COMMA					Pico_GPboard.GP9 + Pico_GPboard.GP4
KC_SCOLON					MCP_Pin12 + Pico_GPboard.GP10
KC_QUOTE					MCP_Pin3 + MCP_Pin12
KC_ENTER					Pico_GPboard.GP10 + Pico_GPboard.GP21
KC_LBRC						Pico_GPboard.GP7 + Pico_GPboard.GP19
KC_RBRC						MCP_Pin14 + Pico_GPboard.GP19
KC_BSLASH					Pico_GPboard.GP10 + MCP_Pin2
KC_CAPS						MCP_Pin3 + Pico_GPboard.GP8
KC_TAB						MCP_Pin3 + Pico_GPboard.GP5
KC_SPACE					Pico_GPboard.GP6 + MCP_Pin3
